review_description,rating,company
عروض سخيفة بالمقارنة مع تطبيقات التوصيل الأخرى,negative,talbat
خدمة جيدة جدا وممتازة يوجد به كل ماتريد من سوبر ماركت ومطاعم شهيره والعديد من الاشياء,positive,talbat
ثثث3ثص22صصص,positive,talbat
خمس نجوم,positive,talbat
بس دعايه .لايدعم التوصيل للامين الثانيه..,negative,talbat
تطبيق رائع,positive,talbat
زي الزفت وفي مشكله وبعمل خلل في الجهاز ومش بيرضه يتحدث,negative,talbat
بدون اي كذب هاذا التطبيق يجنن ولا تهتمو لتعليقات الخايسه شكرا على هذا البرنامج,positive,talbat
لا يعمل بسبب انتظر رمز,negative,talbat
اسعار أعلى بنسب تتجاوز ال٧٠٪ من المطاعم تجارب توصيل سيئة جدا مشاكل في دفع الفيزا تطبيق لا يستحق حجمه على الموبايل (uninstall),negative,talbat
👎,negative,talbat
تجربه مرضيه والتوصيل كان كويس ومعقول,neutral,talbat
برنامج زباله مش عايز يحمل خالص عل 3اجهزه مش راضي يحمل نهءي,negative,talbat
من التجارب السيئة طلبت من نور البخاري (البحرين) اوردر والطلب وصل ناقص اتواصلت مع صاحب المطعم ومع طلبات وانتظر الطلب لمدة ساعتين ولم يأتي ليست هذة المرة الأولى التي يحدث مثل هذا الأمر فقد تكرر ثلاث مرات سابقة مع مطعم البيك انا بحذف التطبيق 😡😡,negative,talbat
برنامج قذر,negative,talbat
مميز,positive,talbat
"بصراحة تغيير كبير في سياسة طلبات مع الزبائن، هناك تقدير لمستخدم طلبات بعكس الأول،يتم التواصل بسرعة معنا وحل الموضوع و التعويض اذا حصل مشكلة,لكن يجب مراجعة سعر التوصيل التطبيقات الثانية أقل سعر و أحيانا بدون سعر توصيل ، شكرا طلبات 🌹",neutral,talbat
التطبيق اصبح سيء جدا والتكلفة اصبحت مرتفعة كان التطبيق المفضل بنسبة لي وكنت اتصفحه واستخدمه يوميا لكن الان اصبح مخيب للامال,negative,talbat
انا احب كل شي فيه,positive,talbat
ازبل واحقر واوسخ برنامج وموظفين وساخه ونصب مش طبيعي,negative,talbat
جيد,positive,talbat
مميز كثير. ..............,positive,talbat
لماذة لا استطيع استخدام القسائم,neutral,talbat
حلو,positive,talbat
كان افضل تطبيق بعدين سرق من اختي 6 دينار و سكرو خساب اختي عشان ما تشتكي لاحد يحمل عشان ما يصير نفس اختي لحد الان ماردو الفلوس نصيحه مني,negative,talbat
برنامج حرامى طلبت من زاكس أوردر ٣ ساندوتش دابل ب ٨٠ جنيه للواحد بعتولى ٣ سندوتشات سنجل ب ٦٥ جنيه الواحد وحاسبونى على أسعار الدابل يعنى ٤٥ جنيه فرق,negative,talbat
تطبيق جداً جميل شكرا لجهودكم,positive,talbat
مممممتاز,positive,talbat
تطبيق فاشل,negative,talbat
تجربه ناجحه معه طلبات احسنتم,positive,talbat
"عذرا أيش الفائدة معظم المواقع يتعذر التوصيل لها ، خاصاً محلات البقالة قليله في البرنامج، المطاعم موجوده بكثرة ،.. خدمه ممتازه لكن يحتاج لها التطوير .",positive,talbat
سيء جداً,negative,talbat
جيد جدا,neutral,talbat
Wo 🙌🙌💋💋💋💋💋💋💙💙💙❤❤💖💖💖👍👍👍👌,positive,talbat
تطبيق سئ لا يتعامل بجدية في العروض و القسائم وايضا لا يتعامل مع المكتبات,negative,talbat
لايدعم العراق,negative,talbat
فيو احتيل,negative,talbat
جحهنناغنمجظ جحختاىةزونه😋😋😋😋😋😋😋😋😋,negative,talbat
عروض كذب,negative,talbat
3w2d32d32,neutral,talbat
لا يستحق ولا نجمه حددت الموقع شارع الزعفرانية العام ولا يوجد توصيل لهذه المنطقة وللعلم الزعفرانية من مركز المحافظة فكيف الحال باطراف المحافظة,negative,talbat
"تجربة مريرة للاسف .. يتم الخصم من حسابك البنكي ولا يتم تفعيل الطلب ،، يعني اخذوا فلوسك وانت تشوف ,, من تاريخ 20/8/2022 لحد اليوم تاريخ اليوم لم تسترد اموالي ...",negative,talbat
من فترة كتبت عنه افضل تطبيق بلا منازع .. الآن صار اسوء تطبيق بلا منازع.. مشاكل ودايما تأخير ودايم اطلب اكل ويوصل متأخر أو مايوصل احيان ويحطو قائمة طعام غير موجودة ف المطعم أو البقالة .. للأسف حتى خدمة العملاء صارت سيئة ومافي أي احترام ولا تعويضات للزبون في حال التأخير ... جاري حذف التطبيق,negative,talbat
تطبيق سيئ جدا مش شغال في بعض الاماكن لازم تكون من منطقة معينة عشان يحمل معاك ويشتغل,negative,talbat
من أسوء التطبيقات فعلاً تندم على تنزيله سيء للغايه وغير صادق.,negative,talbat
👍👏,positive,talbat
هلا هلا,negative,talbat
ugg,positive,talbat
انا اتكلم عن طلبات اللي في مدينة العين .. الصراحه الخدمة ممتازه سريعين في التوصيل,positive,talbat
مرحبا,positive,talbat
كثير العلانات على فاضي طورو حالكم,negative,talbat
زي الزفت ولو فيه أقل من نجمة كمان يبقي احسن واسعارة اووووووووووووفر جدا دا خراب بيوت,negative,talbat
فاشل ٣ ساعات مهمل طلبي بحجه ان المطعم زحمه ولمه رحت المطعم الوضع طبيعي وطلبات ماشيه,negative,talbat
دة .........ئ ..؟............ ؟. . ؟؟. . . . .. . .. . . .. ... ...... ...... .. . .ةةةة. .ة؟.ىى؟.,positive,talbat
ما بعرف ليش كل الناس بتحتاج هيك تطبيق سيه جدا بصراحه الاكل بارد وكل شي ناقص وبس يكون في غلط منهم الحل بدو اسبوع لا يتعالج,negative,talbat
كان من أفضل التطبيقات لدي ولكن للأسف الأخطاء كثرت زعلان على تطبيق طلبات إلى ماوصل إليه,negative,talbat
أنا حزين جدا بسبب الذي حصل اليوم أوردران يرجعو في نفس اليوم ومكالمات كاذبة,negative,talbat
مشاللة علي الططبيق بس انتو مو عرفيلو,positive,talbat
افضل تطبيق وانصح تنزلونه,positive,talbat
😍✨,positive,talbat
تجربة سيئة وعروض الخصومات وهمية ولم تطبق معى سوى مرة رغم ان العرض ٣ اوردرات ومسئولي التطبيق لا يجدون اي حا,negative,talbat
مع الشعب رائع حلو,positive,talbat
تطبيق سئ 1-الاسعار اغلي بكثير من اسعار المطاعم بنسبة تتعدي ال25% وهذا كثير جدا برغم اخد سعر التوصيل يعني لو طلبت من المطعم هيبقي افضل 2-الكوبونات غير حقيقية بنسبة 95% 3-التوصيل بطئ جدا 4-خدنة العملاء أسوأ شئ في التطبيق,negative,talbat
والله حرام عليكم كدة طلب اودرار مارت عبارة عن فرخه وزن 1000/1100والاخر بعتولى دبابيس الدجاج متباله وريحتها وحشى جدا ومنتهى الصلاحيه وكلمت خدمه العملاء بيقولى أن الاوردار وصلى صح ومفيش فى اى مشكله قولتلها طيب ابعت خد الاوردار تانى وشوف انت الصح اللى فى بيقولى هو دة اللى مواضح امامى وانت اللبس الاوردار بجد حسبى الله ونعم الوكيل فيكم على مهزله اللى بتحصل دى والله والله الاوردار وصلى غلط ومش عارف اثبتلهم ازى وبعتلهم الصور الاوردار مش معترفين بيها,negative,talbat
تطبيق بطيء ولايعمل,negative,talbat
التطبيق جيد جدا بس بقاله فتره بيتأخر فى وقت التوصيل,positive,talbat
مافيش إشارة برسالة الطيار ياريت وده شيء سيئ جدًا 👎,negative,talbat
بقي سئ جدا جدا .كنت بتعامل مع الاب من سنين . وكان كويس بس حاليا بقيتوا بالحرف وحشييين جدا وكل شويه كود خصم بيجي فين وفين . وحتي لما يستخدمه تبعتوا اي حجه عشان الخصم ميشتغلش واضطر اطلب من غير الخصم . انا مسحت الاب واي حد قولتله ينزله هنصحه انه يمسحه بردو .خساره كنتوا كويسيين جدا فالاول بس للاسف تقريبا مفيش حاجه بتفضل علي حالها . اسوا تجربه مريت بيها سواء في قله الذوق او غيره ومنصحش حد انه يستخدمه,negative,talbat
سيئ وكل ماله يصير اسوئ وتوصيل غير منتظم وأنصحكم تحطون الدفع كاش عشان اذا تاخر الطلب كنسلو لان حقكم بيضيع والابلكيشن ما يعطيكم اي تعويض,negative,talbat
تاعغههطكغع,positive,talbat
تم الغاء طلبي بدون اي اشعار,negative,talbat
"صار استغلال رسمي، اسعار توصيل عالية، وغير عن هيك بزيد عسعر الوجبة الاصلي للاسفة اصبح سيئ جدا",negative,talbat
"قءىقءء٣خغءسص٢٣_€/'٣،ب١ص٢ص",neutral,talbat
تجربه فاشله جدا جدا ما بحلو المشكله و كل مره المطعم و الكابتن بغلطو نفس الغلط و ما بتخلص الهمجيه عندهم بدهم يطعمو الناس على كيفهو شي بخزي,negative,talbat
جميل,positive,talbat
التطبيق للأسف اصبح سيء 💔 واسعارهم اعلى من اسعار المحلات مع زيادة الضريبة ورسوم الخدمة ع الفاتورة,negative,talbat
سئ,negative,talbat
😂هههههههههههههههههههه ه ههههههههههههههههههه,positive,talbat
الأمر صار غريب أكثر من مرة بطلع أنه الطلب مرفوض Unable to validate,neutral,talbat
برنامج تافه وسيء,negative,talbat
ممكن اعرف موضوع ال 30درهم,positive,talbat
.تطبيق فاشل بكل معنى الكلمة يأتيني اشعار لقسيمة ثم افتح طلبات أجدها غير موجودة!! ويوجد مشاكل في الطلب من تأخر في الوقت و و ...... بعد التجربة لا أنصح بتحميله,negative,talbat
لماذا لا يقبل التثبيت,negative,talbat
طلبات,positive,talbat
سيئ جدآ تم خصم من البطاقه 100 دينار ولم استلم شيئ,negative,talbat
تطبيق على كيفه يلغي الطلبات. صاير فاشل👎👎👎,negative,talbat
Good,positive,talbat
الموظفين لايردو على استفسارات,negative,talbat
انا كنت بدفع بفيزا ميزه بنك الاهلي عادي بعد التحديث لا يمكن الدفع بكارت الميزه حاليا كان كل التعامل بكارت عادي مفيش مشكله,negative,talbat
خرا,negative,talbat
افضل برنامج توصل,positive,talbat
اسعار غاليه ولا انصح به,negative,talbat
"سيء جدا، لايتم الرد على الشكوى الابوقت متأخر جدا، كان البرنامج قبل أفضل الآن التفاعل عن الزبون والاهتمام إليه وشكواه لم تعد اولويه عند مشغلي البرنامج.",negative,talbat
شكرا إلكم,positive,talbat
👌👌 برفكت,positive,talbat
افشل ديليفري في عُمان,negative,talbat
خائب لا يضم مطاعم مهمة وأسعار مرتفعة,negative,talbat
التطبيق جميل جدا وأحيانا يعطي كوبونات خصم,positive,talbat
قال حسيتو تضايق من صعصغغغعععععععععغ في عدد غغغفغععه,neutral,talbat
لايوجد مصداقيه واسعار مبالغ فيها وتاخير وطلب غير نظيف والفلوس ياخذونها واذا صار مشكله لاترجع والدليل الغاء خدمة الاتصال الهاتفيه اذا عندك مشكله يردون عليك بالمحادثه وطريقت الوصول لها معقده واخر شي الموظف يقول اتصل علي المطعم ومايرد وانا اتصل علي المطعم يرد علي اخر شي يقول نرجع لك المبلغ كاش ١٢.٤٠٠ من تاريخ ٢٨ / ٨ الي اليوم لم يتواصل معي احد واراسلهم علي الايميل يرسلون نفس الرساله متأسفين وسوف نحل المشكله وبالنهايه خذووو الفلوس والاكل غير نظيف والخدمه سيئه والدليل كل التعليقات تقول نفس هالكلام,negative,talbat
عطيت فلوس باقي يرجع ماعطاني سرقه,negative,talbat
جيد ولكن الطلب يتأخر عده مرات,neutral,talbat
نصبين وبستغلو الكباتن,negative,talbat
افضل شركة,positive,talbat
اسوء ابلكيشن علي الإطلاق ولو البرنامج والقائمين عليه عندهم الجراءه يكلموني يكلموني بس مفيش نصاب بيرد علي الفريسه بعد ما ينصب عليها,negative,talbat
للأسف تطبيق فاشل وطلبت اول مره صار ساعه ونص كلشي ماكو..,negative,talbat
ضحكو على الشوفريه,negative,talbat
سيئ ضحكو على الشوفريه يالسياره,negative,talbat
برنامج سئ للغايه طلبت اوردر توصيل مجاني اتفاجأت ان ضايف ٣٦ جنيه توصيل وطلبت طلبات من طلبات مارت جابلي الاوردر مختلف خالص ومش بيلغو الاوردر رغم انه الغلط من عندهم,negative,talbat
ج ١,negative,talbat
كيف يمكن استرداد القسائم المنتهية,positive,talbat
للأسف تم تحميل البرنامج لأول مره وتم طلب اول مواد وتم إحضار المواد على الوقت ولكن للأسف غير الجوده العاديه وتم اطعامها للعصافير حيث قام احد المندوبين بالتواصل معي وعن وجود أي ملاحظات...وقمت بأخباره عن سوء جودة المنتج ..وكان جوابه فقط الاعتذار...لذلك لم يتم نجاح التطبيق في السعودية قبل عشر سنوات وفشل فشل ذريع عكس تطبيق جاهز خلال سنتين كان رقم واحد في السعودية من حيث التعامل وجودة المنتج والمصداقية.. وخدمة ما بعد البيع..,negative,talbat
ننا,negative,talbat
برنامج فاشل جدددددا,negative,talbat
ضريب,neutral,talbat
سيئ,negative,talbat
كان بل اول جميل لاكن صرتو تحطو ضريبه وتغلو الاسعار اكثر وبطلتو تنزلو قسائم خصومات وفوق كل هاذ رح اقيمكو نجمه عشان الحركه الي عملتوها مع عمال التوصيل تاعت السيارات خليتوهم يصلحو ويعبو بنزين على حساب تعبهن وما اعطيتوهم السياره❎❎❎ تطبيق سيئ زربه زباله,negative,talbat
"البحث عن الوجبة في التطبيق اصبح اصعب، التطبيق حاليا يقترح مطاعم لا تحتوي على الوجبة المطلوبة اصلا",neutral,talbat
مافيه الا مطعم واحد والله تطبيق نكته ..,negative,talbat
سي جدا تم دن افضل,negative,talbat
خانة الخصومات غير موجودة اجدها احيانا وغالبا غائبا ويقولون ان عندي كوبونات لكن الخانة مختفية ارجو اصلاح هذه المشكلة,negative,talbat
تمام,positive,talbat
مبلغ التوصيل معادل مبلغ الاوردر ازاي,negative,talbat
الاسعار مبالغ بها,negative,talbat
افضل تطبيق بالعالم دام الدون سوا اعلان,positive,talbat
استغلال رفع الاسعار اكثر من بره,negative,talbat
افضل تطبيق,positive,talbat
مخادعين ضحكو على الدرايفر بالسياره حسبي الله فيكم,negative,talbat
الأبلكيشن موصلني بدليفري أوردر تاني خالص ومتأخر عن المعاد ساعة ونص.,negative,talbat
التوصيل جدا غالي الضريبه الاضافيه على المبلغ بالاضافه الى ان الاصناف اغلى من سعرها للاسف تجربه سيئه,negative,talbat
في البداية كان تطبيق رائعا حيث كان التوصيل مجاني و سريع ايضا لكن الآن أصبح بطيئا و التوصيل ليس مجاني و المندوبين الشباب يتحرشون بل فتياة البيت عند الاتصال نعم ارجو ان تراقبو المندوبين الذين ترسلونهم إلى بيوت العالم,negative,talbat
عدم احترام وقت توصيل الطلب وبعد الوقت المقدر لتوصيل الطعام 40 دقيقه وبعد انتهاء الوقت تفاجئنا بتمديد الوقت الى ساعتين وعند التواصل معاهم عن طريق الدردشه ماأخذنا منهم غير الكلام الحلو الي لابقدم ولا بأخر المشكله ... هذا ثاني مره اتعرض لنفس المشكله معاهم ولا في حل للشكوى وعندما طلبت التواصل مع الاداره افادوا بأنهم سيتواصلون بعد 60 دقيقه معاي ... الظاهر مشغولين من كثرة الشكاوي هههههه,negative,talbat
تطبيق مزعج بكثرة اعلاناته الغبية في كل مكان,negative,talbat
زباااله,negative,talbat
تطبيق روعه شكرا طلبات,positive,talbat
سييييييييء,negative,talbat
صاير تطبيق فاشل,negative,talbat
تعرضت للكثير من النقص بالطلبات و اغلب الوقت يتم الغاء الطلبات لعدم تمكن التطبيق من الالتزام بالمصداقية مع العملاء,negative,talbat
"اسوء تجربة مع هذا التطبيق، لعدم وجود مصداقية في الالتزام بالوقت، حيث يقوم التطبيق ببيان الوقت المحدد لتوصيل التطلب، وبعد اتمام عملية الطلب يتم مضاعفة وقت التوصيل. ان عدم الالتزام بالوقت، وتضييع وقت المتعامل مع التطبيق لهو من اسوء الامور التي تجعل مستخدم التطبيق لا يثق بتاتاً به.",negative,talbat
لدى مطعم تجهيز فى المنزل اريد التواصل معكم,neutral,talbat
زفت,negative,talbat
افضل برنامج لتوصيل الطعام في العراق من كل النواحي,positive,talbat
طلبات كريستيانو رونالدو كذب😂👎💔,negative,talbat
Sincerity of Fatima Zahra,positive,talbat
هين قرشك ولا تهين نفسك...ياليت تلغو الخدمه تبع الاستلام لان التعامل سئ جداً مع المطاعم لما تجي تستلم طلبك.. يعاملك كانك خادم عند ابوه..وعلى أيش على 300 بيسه توفير. (افضلي اطلب مباشرة من المطعم).,negative,talbat
مرتب,positive,talbat
سيء جدا جدا لايوصل إلى جمي الأماكن في الدولة اتمنا حل المشكلة,negative,talbat
تطبيق سيىئ جدا تأخير بشكل كبير اسعار غاليه جدا بعملك التوصيل مجاني او بسعر رمزي وبكون رافع سعر الوجبات بشكل مش طبيعي,negative,talbat
تطبيق زبالة تم طلب وخصم المبلغ في الاخير تم الغاء الطلب من قبل المطعم بدون سبب واضح ولم يسترد المبلغ للان 👎👎👎👎👎👎,negative,talbat
التطبيق والخدمة أصبحت سيئة جدا للأسف,negative,talbat
زفت يا نصابين,negative,talbat
غير مناسب,negative,talbat
برنامج ظالم ونصاب,positive,talbat
التطبيق سي ولا يعمل,negative,talbat
غير متوفر في جميع المتاجر,negative,talbat
مع الشباب الاردني,negative,talbat
ممناز,positive,talbat
تطبيق فاااااشل مادييين وغشاشين وواستغلالييين الطلب اصلا زايدين ع سعرو وبتاخدو رسوظ خدمه وضريبه مبيعات وتوصيل ول عليكم جوعانين انتو وهي رح اشطب التطبيق لاني بطلت استفيد منو,negative,talbat
من سيئ لاسوء طلبي ٢.٥٠ بصير ٤ دنانير ليس رسوم خدمة ورسوم ضريبة ورسوم توصيل !!!!!!,negative,talbat
ليه غيرتو اللغه شايفنا اجانب,negative,talbat
ضض١ص٣ضصصصشك,positive,talbat
سيتم حذفه حتى اعطاء الشباب حقوقهم,negative,talbat
ممتاز جدا وبشكركم عل هتمام,positive,talbat
تطبيق سيئ,negative,talbat
سيء جدا,negative,talbat
غير صادقين مع السائقين,negative,talbat
سيء شركة طلبات فرع الاردن نصابة,negative,talbat
"تطبيق فاشل، يفتقر للأمانه 👍.",negative,talbat
تطبيق فاشل وسئ للغايه,negative,talbat
سيء جدا وما في مصداقيه,negative,talbat
شركة احتياليه,negative,talbat
صراحة طلبات شي رائع ومريح جدا وفي اي وقت تطلب اللي على بالك . بالتوفيق يا رب وإن شاء الله تطور التطبيق اكثر ويصبح في كل المجالات,positive,talbat
شرمة نصب وحتيال,negative,talbat
كل شوية يقفل لوحده,negative,talbat
كانت جيده اصبحت احتيال ونصب شهر كامل واكثر وانا اعاني من استخدام رصيد طلبات لاكن اي طلب اخر من طلبات لا حياه لمن تنادي اطالب جميع الاردنيين بشطب التطبيق واستعمال تطبيق اردني اخر انهم نصابين وحراميه وكذابين متميزون بلكذب والكلام العسول علينا نحن الاردنيين ان نشتعمل تطبيق اخر اردني الصنع ونشطب طلبات ونودعه اله بلده نصابين,negative,talbat
ممتازه,positive,talbat
تطبيق سيئ ونصابين,negative,talbat
سيء,negative,talbat
تطبيق سيء كلنا معاً لأفشال هذا التطبيق بسبب عدم احترامكم لحقوق الموظفين,negative,talbat
مقاطع,negative,talbat
هنجر ستيشن افضل من وجهة نظري .,negative,talbat
تاني مرة يحصل غلط في الاوردر ومش لاقية رقم للتواصل,neutral,talbat
تجربة سيئة جدا لا انصح به بشده لايحترم الزبائن ولا الموظفين,negative,talbat
اسوء ططبيق,negative,talbat
بخزي🤮 طلبات🤮,negative,talbat
خايس,negative,talbat
سيارات الموظفين,negative,talbat
شركة سيئة بعد ما وعدت سائقيها بتملك السيارة بعد ثلاث سنوات ولم تفي بوعدها ونفت ذلك شركة استغلاليه و يتم خصم ثمن الطلب اكثر من المطلوب,negative,talbat
تضامنا مع السائقين اللي نصبو عليهم الشركة الهاملة,negative,talbat
حرام عليكم تضحكو على الشباب وتستغلو قدراتهم ومجهودهم وبالاخر تقولو الهم مالكو اشي لاكن عند الله مابروح حق,negative,talbat
طلبات وصلولي طلب بالغلط وطلب قديم كانه معموله من ٣ ايام ولما اتصلت على خدمة العملاء قلت لهم هذا ليس طلبي قالوا مانقدر نسويلك شي تواصل على لايف شات ولايف شات متوقف.. يحطون العميل بمتاهات وتروح عليه فلوسه وهذا اللي حصل معي جاري حذف التطبيق,negative,talbat
سيئ جدا,negative,talbat
لا استطيع تحميل التطبيق.. أحاول أن أحمل التطبيق من أيام لكن من دون اي جدوى,positive,talbat
برنامج ممتاز ومفيد,positive,talbat
شركة نصابة لا تستحق الاحترام .............................................................................................................................................................................,negative,talbat
سئ جدا ولا يتم محاسبة الكباتن بشكل عادل,negative,talbat
مع السائق,negative,talbat
سيء جدا لانكم نصابين رجعو حقوق الموظفين #مقاطعة_تطبيق_طلبات,negative,talbat
لم تلتزم الشركة بإعطاء العمال السيارة بعد ٣ سنوات كما وعدتهم سابقا,negative,talbat
سيئ جدا لانو بعد فترة قامو بحظري,negative,talbat
تطبيق فاشل وبكل مقاييس المهنه,negative,talbat
زباله,negative,talbat
تطبيق سيئ جدا ...واسعار وعروض مخادعه,negative,talbat
سيئ جدا والكباتن مظلومة مع هيك تطبيق,negative,talbat
تطبيق فاشل وغير ملتزم في قوانين وزارة التجاره من حيث تسعيرة التوصيل وتلاعب في الاسعار بالاتفاق مع المطاعم واذا اخطئو بالطلب يضيع حقك وفلوسك وعدم اهتمام بالزبائن والموضفين القائمين علي الدعم والمساعده بالتطبيق يسعون الا افشال التطبيق بحجج واهيه وغير مقنعه وتظيع المبالغ وعدم المساعدة في ارجاعها او مطالبة المطعم في اكمال الناقص من الطعام انصح بعدم تحميل التطبيق ولي ضمان وصول طلبك كامل وساخن اطلب من المطعم مباشره,negative,talbat
قال شو بعمللك عروض خصم وهو ماخذهن منك مدوبلات خصم شو هذا الوجبه السوبر ثمنها دينارين ونص وعندكم ثلاث 75 ودينار توصيل اربعه و 75 وين الخصم في الموضوع تسمع بالمثل اللي بحكي مطرح ما💩💩 شنقوه,negative,talbat
اسوء تطبيق سسسسييييييييءءءؤؤؤؤ,negative,talbat
للأسف الأسعار أغلى من المطعم بكثير,negative,talbat
طتبيق سيء قد ارسلي منتجي مسكوبا,negative,talbat
نصب واحتيال,negative,talbat
طبنصي😄😄😂😴😈,positive,talbat
كله كذب بكذب,negative,talbat
👎🏻👎🏻👎🏻👎🏻👎🏻,negative,talbat
غير مناسب اسعار اغلى عن المعروض,negative,talbat
"كتير حلو التطبيق ، بس ما في قسام كل تلات سنين تعطوني وحده ؟",positive,talbat
سيئ وكان في اغراض ناقصه ما قدرنا نتواصل معهم,negative,talbat
لا انصح بتحميل البرنامج,negative,talbat
غير صريح مع الزبون,negative,talbat
فخميين,positive,talbat
حتى نجمة ما بستاهل بضحكو على بالتوصيل المجاني وبزيدو الضرائب وغير هيك بسحبو من الفيزا بدون ما يتأكد الطلب 🙂,negative,talbat
للاسف الربح المادي يبدو أنه المتحكم الوحيد بالشركات... ومن باب أولى كسب الموظفين,negative,talbat
تطبيق زبااااالة ونصابين,negative,talbat
شركة نصابة,negative,talbat
مقاطعة طلبات حتى ترجع للشباب حقوقهم,negative,talbat
استغلال الموظفين نصب لا يسكت عنو,negative,talbat
أعطوا حق الناس 😡,negative,talbat
بطول ليبين انه اخذ الطلب,negative,talbat
سيئين جدا,negative,talbat
سيء للغاية,negative,talbat
خدمه سيئه,negative,talbat
سيء بدنا سياره,negative,talbat
مقاطعة طلبات,negative,talbat
سي جدا لا انصح بتحميله,negative,talbat
مع السائقين,negative,talbat
رجعو للناس حقوقهم,negative,talbat
يجب ان تكونوا صادقين مع العاملين لديكم,negative,talbat
لا يستحق حتى نصف نجمة,negative,talbat
سوء معامله وعدم احترام وتطبيق لا يعمل بالشكل الجيد وأسعار عاليه وعدم دقه في المواعيد وخدمة عملاء سيئه جدا وعدم استجابه وعدم حل المشاكل,negative,talbat
أنا زبون عندكم تقريبا من اول ما فتحتم لاكن تضحكو على شباب التوصيل ما رح نكون شركاء معكم لهيك نجمه ولو في اقل حطينا ما رح نرجع نستخدم تطبيقكم,negative,talbat
طلبات الاردن يأكلون حقوق ابناء الاردن المكافحين الذين وقفو معهم يداً بيد بالأيام المرة قبل الحلوة شركة نصب واستخفاف بعقول الشباب الشغيلين عندهم,negative,talbat
ضروري تخربوا سمعتكم وتنصبوا على العمال؟,negative,talbat
تطبيق زفت وشركه كاذبه,negative,talbat
هه,negative,talbat
جدا سيء,negative,talbat
غير منصفه واسعار غير حقيقيه,negative,talbat
نصبه ع الموظفين الي بيشتغله معهم قاطعوهم,negative,talbat
حسبي الله ونعم الوكيل,negative,talbat
تطبيق سيء لا انصح باستخدامه,negative,talbat
نصابين,negative,talbat
سئ جدا,negative,talbat
سيء جدا .. نصب وكذب ودجل,negative,talbat
تطبيق جدآ ممتاز 🥰,positive,talbat
لماذا تم استغلال الموظفين لديكم وعدم الايفاء في وعدكم اتجاهم,negative,talbat
الموقع أحيانآ مايعمل,negative,talbat
😡,negative,talbat
